Rotation,LED_no,s1,s2,s3,s4,t
1,18,1760.0,1728.0,2016.0,2016.0,39
1,18,2848.0,2400.0,832.0,256.0,40
1,18,1696.0,1760.0,2016.0,2304.0,41
1,18,1696.0,1792.0,2080.0,2080.0,42
1,18,1728.0,1760.0,2048.0,1952.0,43
1,18,1760.0,1792.0,2016.0,2112.0,44
1,18,1728.0,1760.0,2016.0,2080.0,45
1,18,1728.0,1824.0,1984.0,2016.0,46
1,18,1728.0,1792.0,1984.0,2016.0,47
1,18,1728.0,1664.0,1984.0,1984.0,48
1,18,1728.0,1792.0,2016.0,1984.0,49
1,18,1760.0,1792.0,2080.0,1984.0,50
1,18,1504.0,0.0,576.0,5569.0,51
